idx,n_ours,n_base,n_gt,cd_ours,cd_baseline,cd_ours_o2g,cd_ours_g2o,cd_baseline_o2g,cd_baseline_g2o,icp_fit_ours,icp_rmse_ours,icp_fit_baseline,icp_rmse_baseline,winner
00,16384,16384,25321,0.2566082470496808,0.47515998040309154,0.09891034742370675,0.4143061466756549,0.2914336295255957,0.6588863312805874,0.9237060546875,0.21355545955741334,0.75726318359375,0.23610774996218276,OURS
01,16384,16384,26179,0.2724728618839893,0.24065662165147766,0.07227081446062464,0.47267490930735395,0.13116513264283883,0.3501481106601165,0.95904541015625,0.22100842109886654,0.8868408203125,0.23586115675408795,BASELINE
02,16384,16384,32538,0.656680338589242,0.33147059373122423,0.5979517219055072,0.7154089552729769,0.14309741789967131,0.5198437695627771,0.77886962890625,0.2152460759135553,0.88568115234375,0.2537307845780706,BASELINE
03,16384,16384,21610,0.2230166309540682,0.2017066180134543,0.033000893977366844,0.4130323679307696,0.09647610835050849,0.30693712767640013,0.98443603515625,0.16054787464506398,0.9112548828125,0.19281774269126473,BASELINE
04,16384,16384,24197,0.32324631469920595,0.4449170317930986,0.14046928639789857,0.5060233430005133,0.43710590367528634,0.45272815991091087,0.88079833984375,0.2462551658858848,0.775390625,0.21346555625285857,OURS
05,16384,16384,25535,0.26715695673783935,0.21780307992034043,0.15596042510695368,0.378353488368725,0.1543147788411926,0.28129138099948825,0.87542724609375,0.2522847166202779,0.8651123046875,0.251173727508159,BASELINE
06,16384,16384,18807,0.24640810591980872,0.2109116230973689,0.11344938452262421,0.3793668273169932,0.09727414247974542,0.3245491037149924,0.9052734375,0.22298447011080516,0.9219970703125,0.2097757454918873,BASELINE
07,16384,16384,40216,0.20169068031750198,0.3457266949926146,0.04740232269605262,0.35597903793895136,0.11721926859654276,0.5742341213886865,0.97216796875,0.17498637206906664,0.90399169921875,0.20981188514860757,OURS
08,16384,16384,22994,0.3739667781035508,0.3135859351463736,0.07486083391462292,0.6730727222924786,0.23494440441256237,0.39222746588018487,0.9552001953125,0.21680696172081662,0.8006591796875,0.2318558702808583,BASELINE
09,16384,16384,19207,0.4228116929072968,0.2609266392450789,0.0906999072727035,0.7549234785418901,0.2178569855105797,0.30399629297957814,0.9415283203125,0.23647803492979586,0.8360595703125,0.24484564146520715,BASELINE
10,16384,16384,32189,0.24988628095394813,0.6019150397977773,0.07016826273115849,0.42960429917673776,0.5052951521347463,0.6985349274608081,0.9486083984375,0.19081804604524524,0.73956298828125,0.23404688520490627,OURS
11,16384,16384,13516,0.38977726503669724,0.3282577275912688,0.16035822296837754,0.6191963071050169,0.20386055195271835,0.45265490322981927,0.88525390625,0.24182495565947798,0.8197021484375,0.27092747189843336,BASELINE
12,16384,16384,30219,0.25076848809667723,0.42333354230099407,0.057495344296990214,0.44404163189636425,0.22533054966077531,0.6213365349412129,0.9593505859375,0.1769827876695206,0.80645751953125,0.21588709659593683,OURS
13,16384,16384,18491,0.2841917604387526,0.43594988830179626,0.0755795082477968,0.49280401262970835,0.3309013058688448,0.5409984707347477,0.9505615234375,0.20837730875258964,0.8077392578125,0.23095915368044992,OURS
14,16384,16384,33307,0.35566683945534394,0.21030824953534116,0.08943707549552588,0.621896603415162,0.11876944689194807,0.30184705217873425,0.9345703125,0.2119360910669373,0.90911865234375,0.23915198169492047,BASELINE
15,16384,16384,15369,0.3821921696549137,0.28663836362752215,0.09843774211668507,0.6659465971931423,0.11851612953839846,0.4547605977166459,0.91680908203125,0.215616170102857,0.90594482421875,0.24910746301424613,BASELINE
16,16384,16384,21685,0.446036596775055,0.426990524221435,0.30011177340437595,0.591961420145734,0.2732674751754159,0.5807135732674542,0.7972412109375,0.2231001677436109,0.783203125,0.24993563908459449,BASELINE
17,16384,16384,55298,0.25253339121813617,0.20560359439741843,0.05284985180513228,0.4522169306311401,0.09396303052781796,0.3172441582670189,0.9696044921875,0.1855145794941288,0.92584228515625,0.20105642886230893,BASELINE
18,16384,16384,28215,0.354553155177499,0.4977988608099345,0.19310430350416655,0.5160020068508315,0.46510474205363705,0.530492979566232,0.85137939453125,0.2252349425562885,0.7266845703125,0.22008718296471014,OURS
19,16384,16384,28671,0.33074713009643275,0.2340616964235829,0.09615500478498412,0.5653392554078813,0.12666503576081128,0.3414583570863545,0.9339599609375,0.22335701580987916,0.89935302734375,0.20410607323464092,BASELINE
