idx,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit,n_pred,n_gt
00,0.21349666460790506,0.06136123740664731,0.36563209180916284,0.97738,50000,25218
01,0.2827368502019808,0.30292105943477293,0.26255264096918873,0.76116,50000,26275
02,0.6404361562861554,0.10778175798674802,1.1730905545855628,0.93914,50000,32538
03,0.2723322052235274,0.08003877372109197,0.46462563672596285,0.97966,50000,21901
04,0.6349115145409674,0.023359743010261183,1.2464632860716736,0.99808,50000,24220
05,0.22836326591939032,0.013788193737987299,0.44293833810079336,0.99946,50000,25535
06,0.274130933075099,0.021132415165732072,0.527129450984466,0.99916,50000,18905
07,0.4579271225579609,0.11275962573742344,0.8030946193784984,0.93368,50000,40216
08,0.47027551801355016,0.6198452828306329,0.3207057531964674,0.64828,50000,23084
09,0.44510686989277876,0.06987338757561082,0.8203403522099467,0.97048,50000,19370
10,0.358977340917962,0.04378905913120388,0.6741656227047201,0.98888,50000,32016
11,0.5909821510832698,0.759517803846611,0.42244649831992853,0.6433,50000,13620
12,0.3602623103588843,0.028496200200895255,0.6920284205168733,0.9963,50000,30219
13,0.5288255894126676,0.04687319583818774,1.0107779829871473,0.98666,50000,18386
14,0.26494265294958574,0.30168619574520145,0.22819911015397,0.7651,50000,33307
15,0.31755360755659745,0.11383298342804078,0.5212742316851541,0.95944,50000,15387
16,0.3899805258139291,0.24863255312595814,0.5313284985019001,0.8022,50000,21755
17,0.16474184643253204,0.0357365103815018,0.29374718248356224,0.99892,50000,55406
18,0.5729570622193173,0.03756142946883805,1.1083526949697966,0.99682,50000,28250
19,0.20395416510431078,0.0520357474648401,0.3558725827437815,0.99344,50000,28671
