idx,cd_sym,cd_pred2gt,cd_gt2pred,icp_fit,n_pred,n_gt
00,0.31333332795328106,0.26663947346976247,0.36002718243679965,0.76794,50000,25218
01,0.39140167680844623,0.4578030837634868,0.3250002698534057,0.68012,50000,26275
02,0.42639762972164097,0.49094955073568314,0.36184570870759875,0.74438,50000,32538
03,0.40157149005260784,0.45494280921309865,0.348200170892117,0.64842,50000,21901
04,0.33246161600536184,0.39164965092209125,0.2732735810886325,0.71258,50000,24220
05,0.6195014461100096,0.8090130631056658,0.4299898291143533,0.56324,50000,25535
06,0.2743591596466914,0.2657921620994728,0.28292615719390996,0.7791,50000,18905
07,0.20053516571252078,0.07863296645279888,0.3224373649722427,0.95494,50000,40216
08,0.6196311379462676,0.8672560184598594,0.37200625743267574,0.5852,50000,23084
09,0.45862370594939195,0.604367140313332,0.31288027158545184,0.75176,50000,19370
10,0.3632441592762172,0.5333956173547759,0.1930927011976585,0.71314,50000,32016
11,0.4561178629998146,0.5139611672228795,0.3982745587767497,0.7216,50000,13620
12,0.2127676323980481,0.05702223618828777,0.36851302860780843,0.97672,50000,30219
13,0.4327612027214327,0.6017238560304489,0.2637985494124166,0.72864,50000,18386
14,0.5651211747035713,0.27823459356905295,0.8520077558380896,0.79984,50000,33307
15,0.7459798594927202,0.9204929737704886,0.5714667452149518,0.67218,50000,15387
16,0.44097654627395044,0.5458383128382835,0.33611477970961734,0.65026,50000,21755
17,0.2419126359004556,0.07663964176101588,0.40718563003989533,0.96268,50000,55406
18,0.6617349864670203,0.9205378365907325,0.40293213634330804,0.56914,50000,28250
19,0.46383243439597954,0.6768032519199549,0.25086161687200415,0.71434,50000,28671
